PartnerId,CustomerId,CustomerName,MpnId,OrderId,SubscriptionId,SyndicationPartnerSubscriptionNumber,OfferId,DurableOfferId,OfferName,SubscriptionStartDate,SubscriptionEndDate,ChargeStartDate,ChargeEndDate,ChargeType,UnitPrice,Quantity,Amount,TotalOtherDiscount,Subtotal,Tax,TotalForCustomer,Currency,DomainName,SubscriptionName,SubscriptionDescription,BillingCycleType
f7f66891-a582-418d-999e-cb1be5354253,5bfb5421-6841-419b-8ce6-e3bd5254744f,Freedom Solar Services,1473062,5.68579E+17,E2DfhgAAAAAAAAQA,cd8b3a7d-3687-4269-b99f-84cddd6a0725,504c4cd6-ec49-40a3-8ca2-abb0bfcc8a49,5c9fd4cc-edce-44a8-8e91-07df09744609,Microsoft 365 Apps for business,02/04/2020,02/04/2021,02/05/2020,01/06/2020,Cycle fee,6.6,295,1947,0,1947,0,1947,USD,freedomforever.com,Office 365 Business,Microsoft 365 Apps for business,Monthly
f7f66891-a582-418d-999e-cb1be5354253,5bfb5421-6841-419b-8ce6-e3bd5254744f,Freedom Solar Services,1473062,5.68579E+17,E2DfhgAAAAAAAAMA,40499e96-2361-4bc7-94d5-5eb35ce411c2,42592d6c-df3c-4acb-bce7-d613ca0e102d,796b6b5f-613c-4e24-a17c-eba730d49c02,Office 365 E3,02/04/2020,02/04/2021,02/05/2020,01/06/2020,Cycle fee,16,19,304,0,304,0,304,USD,freedomforever.com,Office 365 E3,Office 365 E3,Monthly
f7f66891-a582-418d-999e-cb1be5354253,5bfb5421-6841-419b-8ce6-e3bd5254744f,Freedom Solar Services,1473062,5.68579E+17,E2DfhgAAAAAAAAEA,549df36f-cd31-4cff-b16f-22f12d35e040,df848b55-2814-49bc-a2a6-833e8e106834,b4d4b7f4-4089-43b6-9c44-de97b760fb11,Visio Plan 2,02/04/2020,02/04/2021,02/05/2020,01/06/2020,Cycle fee,12,25,300,0,300,0,300,USD,freedomforever.com,Visio Plan 2,Visio Plan 2,Monthly
f7f66891-a582-418d-999e-cb1be5354253,5bfb5421-6841-419b-8ce6-e3bd5254744f,Freedom Solar Services,1473062,5.68579E+17,E2DfhgAAAAAAAAIA,0bcce76e-812a-492b-b40f-4d80d0a0634d,8efdde93-2488-45c1-9f00-4457f500eec6,61795cab-2abd-43f6-88e9-c9adae5746e0,Microsoft 365 Business Premium,02/04/2020,02/04/2021,02/05/2020,01/06/2020,Cycle fee,16,53,848,0,848,0,848,USD,freedomforever.com,Microsoft 365 Business,Microsoft 365 Business Premium,Monthly
f7f66891-a582-418d-999e-cb1be5354253,5bfb5421-6841-419b-8ce6-e3bd5254744f,Freedom Solar Services,1473062,5.68579E+17,E2DfhgAAAAAAAAUA,c2366b7b-1090-4a1b-9032-b07a76bb3b18,0d77a1c0-46e2-4750-ba08-4b33b8855c2a,800f4f3b-cfe1-42c1-9cea-675512810488,Power BI Pro,02/04/2020,02/04/2021,02/05/2020,01/06/2020,Cycle fee,8,30,240,0,240,0,240,USD,freedomforever.com,Power BI Pro,Power BI Pro,Monthly
f7f66891-a582-418d-999e-cb1be5354253,5bfb5421-6841-419b-8ce6-e3bd5254744f,Freedom Solar Services,1473062,5.68579E+17,E2DfhgAAAAAAAAUA,c2366b7b-1090-4a1b-9032-b07a76bb3b18,0d77a1c0-46e2-4750-ba08-4b33b8855c2a,800f4f3b-cfe1-42c1-9cea-675512810488,Power BI Pro,02/04/2020,02/04/2021,02/04/2020,06/04/2020,Cycle instance prorate,1.33,4,5.33,0,5.33,0,5.33,USD,freedomforever.com,Power BI Pro,Power BI Pro,Monthly
f7f66891-a582-418d-999e-cb1be5354253,5bfb5421-6841-419b-8ce6-e3bd5254744f,Freedom Solar Services,1473062,5.68579E+17,E2DfhgAAAAAAAAUA,c2366b7b-1090-4a1b-9032-b07a76bb3b18,0d77a1c0-46e2-4750-ba08-4b33b8855c2a,800f4f3b-cfe1-42c1-9cea-675512810488,Power BI Pro,02/04/2020,02/04/2021,07/04/2020,26/04/2020,Cycle instance prorate,5.33,10,53.33,0,53.33,0,53.33,USD,freedomforever.com,Power BI Pro,Power BI Pro,Monthly
f7f66891-a582-418d-999e-cb1be5354253,5bfb5421-6841-419b-8ce6-e3bd5254744f,Freedom Solar Services,1473062,5.68579E+17,E2DfhgAAAAAAAAUA,c2366b7b-1090-4a1b-9032-b07a76bb3b18,0d77a1c0-46e2-4750-ba08-4b33b8855c2a,800f4f3b-cfe1-42c1-9cea-675512810488,Power BI Pro,02/04/2020,02/04/2021,27/04/2020,29/04/2020,Cycle instance prorate,0.8,20,16,0,16,0,16,USD,freedomforever.com,Power BI Pro,Power BI Pro,Monthly
f7f66891-a582-418d-999e-cb1be5354253,5bfb5421-6841-419b-8ce6-e3bd5254744f,Freedom Solar Services,1473062,5.68579E+17,E2DfhgAAAAAAAAUA,c2366b7b-1090-4a1b-9032-b07a76bb3b18,0d77a1c0-46e2-4750-ba08-4b33b8855c2a,800f4f3b-cfe1-42c1-9cea-675512810488,Power BI Pro,02/04/2020,02/04/2021,30/04/2020,01/05/2020,Cycle instance prorate,0.53,30,16,0,16,0,16,USD,freedomforever.com,Power BI Pro,Power BI Pro,Monthly
f7f66891-a582-418d-999e-cb1be5354253,5bfb5421-6841-419b-8ce6-e3bd5254744f,Freedom Solar Services,1473062,5.68579E+17,E2DfhgAAAAAAAAUA,c2366b7b-1090-4a1b-9032-b07a76bb3b18,0d77a1c0-46e2-4750-ba08-4b33b8855c2a,800f4f3b-cfe1-42c1-9cea-675512810488,Power BI Pro,02/04/2020,02/04/2021,02/04/2020,01/05/2020,Cycle instance prorate,-8,4,-32,0,-32,0,-32,USD,freedomforever.com,Power BI Pro,Power BI Pro,Monthly
f7f66891-a582-418d-999e-cb1be5354253,30011b1f-9743-4750-a2f6-d6c0fff7848e,GHCI,1473062,5.68579E+17,HQHahAAAAAAAAAEA,784f0806-90bb-4650-af67-654e27cd73e5,f65c060c-23f7-482e-b728-cd373b8ea518,51e95709-dc35-4780-9040-22278cb7c0e1,Intune,03/02/2020,03/02/2021,03/05/2020,02/06/2020,Cycle fee,4.8,50,240,0,240,0,240,USD,ghci.org,Intune,Intune,Monthly
f7f66891-a582-418d-999e-cb1be5354253,6cf9fda3-7705-485c-92bd-cb9521d1bd3b,Kar's Nuts,1473062,5.68579E+17,U65wgwAAAAAAAAMA,d225b83b-bec4-4e05-aa79-d7a6d1e94a75,a175446c-0264-4cba-85e1-537a9d4440d5,031c9e47-4802-4248-838e-778fb1d2cc05,Microsoft 365 Business Standard,03/12/2019,03/12/2020,03/05/2020,02/06/2020,Cycle fee,10,47,470,0,470,0,470,USD,karsnuts.com,Office 365 Business Premium,Microsoft 365 Business Standard,Monthly
f7f66891-a582-418d-999e-cb1be5354253,6cf9fda3-7705-485c-92bd-cb9521d1bd3b,Kar's Nuts,1473062,5.68579E+17,U65wgwAAAAAAAAIA,ca86f008-0a8b-4989-bf5f-cdee35837ce8,42592d6c-df3c-4acb-bce7-d613ca0e102d,796b6b5f-613c-4e24-a17c-eba730d49c02,Office 365 E3,03/12/2019,03/12/2020,03/05/2020,02/06/2020,Cycle fee,16,5,80,0,80,0,80,USD,karsnuts.com,Office 365 E3 -Sanders,Office 365 E3,Monthly
f7f66891-a582-418d-999e-cb1be5354253,6cf9fda3-7705-485c-92bd-cb9521d1bd3b,Kar's Nuts,1473062,5.68579E+17,U65wgwAAAAAAAAQA,c0ae226a-9d3e-42ad-a9e1-ee8032f15502,568d399d-c52a-4090-846c-515130fe8a46,bd938f12-058f-4927-bba3-ae36b1d2501c,Microsoft 365 Business Basic,03/12/2019,03/12/2020,03/05/2020,02/06/2020,Cycle fee,4,31,124,0,124,0,124,USD,karsnuts.com,Office 365 Business Essentials,Microsoft 365 Business Basic,Monthly
f7f66891-a582-418d-999e-cb1be5354253,6cf9fda3-7705-485c-92bd-cb9521d1bd3b,Kar's Nuts,1473062,5.68579E+17,U65wgwAAAAAAAAEA,cd6b3167-4e81-4205-95b0-b12cf2295580,df848b55-2814-49bc-a2a6-833e8e106834,b4d4b7f4-4089-43b6-9c44-de97b760fb11,Visio Plan 2,03/12/2019,03/12/2020,03/05/2020,02/06/2020,Cycle fee,12,6,72,0,72,0,72,USD,karsnuts.com,Visio Plan 2,Visio Plan 2,Monthly
f7f66891-a582-418d-999e-cb1be5354253,d012ca0c-2b9c-4081-84bd-37f458a01c7d,"Business Intelligence Associates, Inc.",1473062,5.68579E+17,0b9LgQAAAAAAAAQA,da2e2105-3e17-4309-a77a-a6109182104c,0d77a1c0-46e2-4750-ba08-4b33b8855c2a,800f4f3b-cfe1-42c1-9cea-675512810488,Power BI Pro,03/10/2019,03/10/2020,03/05/2020,02/06/2020,Cycle fee,8,1,8,0,8,0,8,USD,biaprotect.com,Power BI Pro,Power BI Pro,Monthly
f7f66891-a582-418d-999e-cb1be5354253,d012ca0c-2b9c-4081-84bd-37f458a01c7d,"Business Intelligence Associates, Inc.",1473062,5.68579E+17,0b9LgQAAAAAAAAMA,79aff38a-2ce6-4317-9d6a-9f13f44d2028,df848b55-2814-49bc-a2a6-833e8e106834,b4d4b7f4-4089-43b6-9c44-de97b760fb11,Visio Plan 2,03/10/2019,03/10/2020,03/05/2020,02/06/2020,Cycle fee,12,1,12,0,12,0,12,USD,biaprotect.com,Visio Online Plan 2,Visio Plan 2,Monthly
f7f66891-a582-418d-999e-cb1be5354253,d012ca0c-2b9c-4081-84bd-37f458a01c7d,"Business Intelligence Associates, Inc.",1473062,5.68579E+17,0b9LgQAAAAAAAAEA,6ffc570a-67ef-4185-8707-24f2aec11242,b8a861d5-4372-415e-b0b1-e3ff299d90f8,195416c1-3447-423a-b37b-ee59a99a19c4,Exchange Online (Plan 1),03/10/2019,03/10/2020,03/05/2020,02/06/2020,Cycle fee,3.2,9,28.8,0,28.8,0,28.8,USD,biaprotect.com,Exchange Online (Plan 1),Exchange Online (Plan 1),Monthly
f7f66891-a582-418d-999e-cb1be5354253,d012ca0c-2b9c-4081-84bd-37f458a01c7d,"Business Intelligence Associates, Inc.",1473062,5.68579E+17,0b9LgQAAAAAAAAcA,7331bdaa-1cd4-4122-b612-6da8adc4194f,5c6988ed-65df-46f2-9e34-762ea5a4bdf6,ded34535-507f-4246-8370-f9180318c537,Microsoft 365 Domestic and International Calling Plan,03/10/2019,03/10/2020,03/05/2020,02/06/2020,Cycle fee,24,17,408,0,408,0,408,USD,biaprotect.com,Domestic and International Calling Plan,Microsoft 365 Domestic and International Calling Plan,Monthly
f7f66891-a582-418d-999e-cb1be5354253,d012ca0c-2b9c-4081-84bd-37f458a01c7d,"Business Intelligence Associates, Inc.",1473062,5.68579E+17,0b9LgQAAAAAAAAIA,aa5c38b5-b58c-4718-a019-6da4e3317686,10f6d058-4320-481a-bca7-2b97616c840d,8bdbb60b-e526-43e9-92ef-ab760c8e0b72,Microsoft 365 E5,03/10/2019,03/10/2020,03/05/2020,02/06/2020,Cycle fee,46,68,3128,0,3128,0,3128,USD,biaprotect.com,Microsoft 365 E5,Microsoft 365 E5,Monthly
f7f66891-a582-418d-999e-cb1be5354253,d012ca0c-2b9c-4081-84bd-37f458a01c7d,"Business Intelligence Associates, Inc.",1473062,5.68579E+17,0b9LgQAAAAAAAAUA,1b5a1c93-0d16-43c3-941c-e6726a2a85e3,568d399d-c52a-4090-846c-515130fe8a46,bd938f12-058f-4927-bba3-ae36b1d2501c,Microsoft 365 Business Basic,03/10/2019,03/10/2020,03/05/2020,02/06/2020,Cycle fee,4,9,36,0,36,0,36,USD,biaprotect.com,Office 365 Business Essentials,Microsoft 365 Business Basic,Monthly
f7f66891-a582-418d-999e-cb1be5354253,d012ca0c-2b9c-4081-84bd-37f458a01c7d,"Business Intelligence Associates, Inc.",1473062,5.68579E+17,0b9LgQAAAAAAAAYA,1da128e4-678b-48ba-b393-1d8dc2c77aae,5d471e51-3864-4c9e-b09c-f5c55a4a03c7,0f598efe-f330-4d79-b79f-c9480bb7ce3e,Microsoft 365 Domestic Calling Plan,03/10/2019,03/10/2020,03/05/2020,02/06/2020,Cycle fee,12,44,528,0,528,0,528,USD,biaprotect.com,Domestic Calling Plan,Microsoft 365 Domestic Calling Plan,Monthly
f7f66891-a582-418d-999e-cb1be5354253,03bd8b06-8ccc-465f-a7e7-4b56f3e98573,Sandalwood,1473062,5.68579E+17,09uNgwAAAAAAAAEA,92eaa7ab-8e43-48ce-ba03-0397906a42a2,3ccac4e6-7b09-4712-8ade-a278de3a4235,a56baa74-d4e3-49fd-b228-ca0b62d08bad,Project Plan 3,03/02/2020,03/02/2021,03/05/2020,02/06/2020,Cycle fee,24,2,48,0,48,0,48,USD,sandalwood.com,Project Plan 3,Project Plan 3,Monthly
f7f66891-a582-418d-999e-cb1be5354253,8412e6d2-daa5-429a-bb36-ca42c0409a5b,Archway Marketing Services,1473062,5.68579E+17,SxfvhgAAAAAAAAEA,e0d556ce-e320-4fa2-a6f2-2a5d45071714,bdfa2140-d8e2-42cb-9a10-da90311a5ffb,6fbad345-b7de-42a6-b6ab-79b363d0b371,Office 365 F3,04/05/2020,04/05/2021,04/05/2020,03/06/2020,Prorate fees when purchase,3.2,100,320,0,320,0,320,USD,ArchMS.onmicrosoft.com,Office 365 F3,Office 365 F3,Monthly
f7f66891-a582-418d-999e-cb1be5354253,c2ec94c0-ebd0-4630-aef2-2dcf0eb68ebd,acrisure.com,1473062,5.68579E+17,5amkhwAAAAAAAAEA,93fe503e-e913-4a93-9a26-a010daa1cbbe,51818b79-1170-453b-a29c-4697a88e7c94,47490014-3ed5-4a67-937e-c7de2422d888,Power BI Premium P1,04/05/2020,04/05/2021,04/05/2020,03/06/2020,Prorate fees when purchase,3996,1,3996,0,3996,0,3996,USD,acrisurellc.com,Power BI Premium P1,Power BI Premium P1,Monthly
f7f66891-a582-418d-999e-cb1be5354253,c0526fff-f991-46f0-92eb-95ec79c25ada,"ImageTrend, Inc.",1473062,5.68579E+17,lyRyhgAAAAAAAAMA,47e378cc-96cd-462d-91d5-f1debd6ca5a6,5d471e51-3864-4c9e-b09c-f5c55a4a03c7,0f598efe-f330-4d79-b79f-c9480bb7ce3e,Microsoft 365 Domestic Calling Plan,04/05/2020,25/03/2021,04/05/2020,24/05/2020,Prorate fees when purchase,8.4,20,168,0,168,0,168,USD,imagetrend.com,Microsoft 365 Domestic Calling Plan,Microsoft 365 Domestic Calling Plan,Monthly
f7f66891-a582-418d-999e-cb1be5354253,11dbced0-10e1-49de-9ec3-f5eb404c5372,Thetford Corporation,1473062,5.68579E+17,XJOMcQAAAAAAAAEA,cea7e811-4d2b-4746-bc73-ac0b6009170e,42592d6c-df3c-4acb-bce7-d613ca0e102d,796b6b5f-613c-4e24-a17c-eba730d49c02,Office 365 E3,04/04/2020,04/04/2021,04/05/2020,03/06/2020,Cycle fee,16,203,3248,0,3248,0,3248,USD,thetford.com,Office 365 Enterprise E3,Office 365 E3,Monthly
f7f66891-a582-418d-999e-cb1be5354253,11dbced0-10e1-49de-9ec3-f5eb404c5372,Thetford Corporation,1473062,5.68579E+17,XJOMcQAAAAAAAAEA,cea7e811-4d2b-4746-bc73-ac0b6009170e,42592d6c-df3c-4acb-bce7-d613ca0e102d,796b6b5f-613c-4e24-a17c-eba730d49c02,Office 365 E3,04/04/2020,04/04/2021,04/04/2020,05/04/2020,Cycle instance prorate,1.06,214,228.27,0,228.27,0,228.27,USD,thetford.com,Office 365 Enterprise E3,Office 365 E3,Monthly
f7f66891-a582-418d-999e-cb1be5354253,11dbced0-10e1-49de-9ec3-f5eb404c5372,Thetford Corporation,1473062,5.68579E+17,XJOMcQAAAAAAAAEA,cea7e811-4d2b-4746-bc73-ac0b6009170e,42592d6c-df3c-4acb-bce7-d613ca0e102d,796b6b5f-613c-4e24-a17c-eba730d49c02,Office 365 E3,04/04/2020,04/04/2021,06/04/2020,12/04/2020,Cycle instance prorate,3.73,215,802.67,0,802.67,0,802.67,USD,thetford.com,Office 365 Enterprise E3,Office 365 E3,Monthly
f7f66891-a582-418d-999e-cb1be5354253,11dbced0-10e1-49de-9ec3-f5eb404c5372,Thetford Corporation,1473062,5.68579E+17,XJOMcQAAAAAAAAEA,cea7e811-4d2b-4746-bc73-ac0b6009170e,42592d6c-df3c-4acb-bce7-d613ca0e102d,796b6b5f-613c-4e24-a17c-eba730d49c02,Office 365 E3,04/04/2020,04/04/2021,13/04/2020,13/04/2020,Cycle instance prorate,0.53,212,113.07,0,113.07,0,113.07,USD,thetford.com,Office 365 Enterprise E3,Office 365 E3,Monthly
